chavepar,arquivo_psg,arquivo_hyp,canal,frequencia_amostragem_hz,indice_epoca,inicio_epoca_s,id_estagio,estagio,media,desvio_padrao,variancia,minimo,maximo,pico_a_pico,valor_rms,assimetria,curtose_excesso,potencia_delta,potencia_theta,potencia_alpha,potencia_beta,potencia_total,relativo_delta,relativo_theta,relativo_alpha,relativo_beta,razao_delta_theta,razao_delta_alpha,razao_alpha_theta,hjorth_complexidade
SC4001E,SC4001E0-PSG.edf,SC4001EC-Hypnogram.edf,Fpz-Cz,100.0,0,28830.0,1,Acordado,-1.6651756981189255e-07,2.0608113146246705e-05,4.2469432744850625e-10,-7.39203433742419e-05,6.644345684890881e-05,0.00014036380022315072,2.060535102282284e-05,-0.8022972606917492,1.978313549500311,3.5161074136875156e-10,3.3221362655549787e-11,5.7455800064544e-12,1.0473363020931938e-11,4.010510470516878e-10,0.8745425337085327,0.08262971306546266,0.01429067290979035,0.02604983396445546,10.274597914403321,52.12461212116949,0.16789454190605177,4.363034184154089
SC4001E,SC4001E0-PSG.edf,SC4001EC-Hypnogram.edf,Fpz-Cz,100.0,1,28860.0,1,Acordado,2.5585095598651495e-07,2.4790170112326282e-05,6.145525341980753e-10,-8.453463153271248e-05,9.141678238508606e-05,0.00017595141391779854,2.4787358533434375e-05,-0.4130665135779682,1.1716491386550834,4.959444264366355e-10,4.2816294097233046e-11,4.770205763095738e-12,1.0341145214914837e-11,5.538720715118793e-10,0.8937995835424163,0.07716426235072528,0.008596946950489312,0.018636989940290127,11.318721417564017,85.9491752631295,0.10886830713045106,4.896553250719621
SC4001E,SC4001E0-PSG.edf,SC4001EC-Hypnogram.edf,Fpz-Cz,100.0,2,28890.0,1,Acordado,-1.9379503734370005e-07,3.0812540401111984e-05,9.494126459701582e-10,-0.00010452792152068301,8.760915936188177e-05,0.0001921370808825648,3.080801408083077e-05,-0.20936543256277246,0.2744452226081866,7.298039159509966e-10,6.1985709951335e-11,5.257595224071597e-12,8.410971315687862e-12,8.054581924420911e-10,0.9049494726329551,0.07686165325400421,0.006519364888774598,0.010429519340882414,11.586817335469728,116.62689736523721,0.08347282626700249,5.266527533324328
SC4001E,SC4001E0-PSG.edf,SC4001EC-Hypnogram.edf,Fpz-Cz,100.0,3,28920.0,1,Acordado,-5.086671936332075e-07,2.5999006935810256e-05,6.759483616483097e-10,-8.517545789559107e-05,9.200267492151516e-05,0.00017717813281710622,2.5999649763826412e-05,-0.2898463483894904,0.7346516152080267,5.424501963753489e-10,4.731464499366903e-11,6.219261103444634e-12,1.6807780995970283e-11,6.12791883468433e-10,0.8837689304558014,0.07708581079029925,0.010132524184420056,0.027383517848089463,11.22744866378361,75.13929591998294,0.12872413952869946,4.523860379795724
SC4001E,SC4001E0-PSG.edf,SC4001EC-Hypnogram.edf,Fpz-Cz,100.0,4,28950.0,1,Acordado,1.960302849779085e-07,2.640480881171328e-05,6.972139283831312e-10,-8.794547485462329e-05,8.067243557629465e-05,0.00016861791043091794,2.6401135422798874e-05,-0.2517653864599891,0.35706859475329056,4.2937690428374434e-10,4.0007930589302914e-11,5.459382544419919e-12,1.0119987352100616e-11,4.84964204769568e-10,0.8835566489662424,0.08232690843613402,0.011234124840549977,0.020824553028343434,10.470582107250959,66.47336666175177,0.1331299206267195,4.968759019792471
SC4001E,SC4001E0-PSG.edf,SC4001EC-Hypnogram.edf,Fpz-Cz,100.0,5,28980.0,1,Acordado,2.8929769841718267e-07,2.2711731339691382e-05,5.158227404463197e-10,-8.089446805190724e-05,7.906234815530429e-05,0.00015995681620721152,2.2709788477463786e-05,-0.6286320326142042,1.1891799062515878,4.1929984356611345e-10,3.8166339979658274e-11,5.649172592585005e-12,1.0569710111619195e-11,4.73685066249976e-10,0.883322171642333,0.08040349843144072,0.01190088543803076,0.022266784575971966,10.705617215800203,63.06045417345707,0.14423539691273174,4.54289018492099
SC4001E,SC4001E0-PSG.edf,SC4001EC-Hypnogram.edf,Fpz-Cz,100.0,6,29010.0,1,Acordado,1.3693759653844328e-07,2.5435523345405667e-05,6.469658478546767e-10,-8.684665645600494e-05,8.468768518505118e-05,0.00017153434164105612,2.5431652413427723e-05,-0.42030004787518477,1.398858793597304,5.510106968625014e-10,4.3188799963679624e-11,5.264758825925128e-12,1.2441344662672273e-11,6.119056003147784e-10,0.8990139698177195,0.07046566378492636,0.008589836384626333,0.02029895738639458,12.469465052578867,87.95401581658376,0.1191423806542025,4.669744822053946
SC4001E,SC4001E0-PSG.edf,SC4001EC-Hypnogram.edf,Fpz-Cz,100.0,7,29040.0,1,Acordado,-5.100928529826437e-08,2.229575874180054e-05,4.971008578725752e-10,-6.986645261142609e-05,7.671289082482887e-05,0.00014657934343625495,2.2292100832667258e-05,0.07259911076540075,0.617463979586061,3.630016307644615e-10,3.050708552169055e-11,5.2797541057370545e-12,7.317742116139871e-12,4.0610621250802907e-10,0.8916632063366076,0.07493642834322721,0.012968984367029097,0.017975019519004636,11.52126973199596,57.80507081206105,0.16757354792788726,5.045083750453973
SC4001E,SC4001E0-PSG.edf,SC4001EC-Hypnogram.edf,Fpz-Cz,100.0,8,29070.0,1,Acordado,-7.535080276636135e-08,2.3178128207081105e-05,5.372256271838888e-10,-8.962802722465136e-05,0.00010641457323009519,0.00019604260045474653,2.3174387364465647e-05,-0.16759853500420288,2.401527594507261,4.364563867643517e-10,3.788910449828127e-11,5.725621186377491e-12,8.521935201265401e-12,4.885930476502757e-10,0.8914676972213045,0.07738897576287904,0.011694653782067991,0.017406160569814217,11.223102007495214,64.89458366290071,0.14722944280268882,4.8695804011704436
SC4001E,SC4001E0-PSG.edf,SC4001EC-Hypnogram.edf,Fpz-Cz,100.0,9,29100.0,1,Acordado,-1.4785045155864325e-07,2.1894522185246507e-05,4.793701017202515e-10,-7.201495421767222e-05,6.983415013374693e-05,0.00014184910435141915,2.1891372077655864e-05,-0.33394654946248636,0.873748477093355,3.7021621744951287e-10,3.545508206613864e-11,5.128879446650727e-12,7.118140707966631e-12,4.1791831967026875e-10,0.8837432025911653,0.08463483309597296,0.012243149095717932,0.016991715028288404,10.155407599353309,60.405204682534006,0.1406903826836998,4.732744778015535
